IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.21.201.120,,,,240 毫秒,11264 kB/s
104.19.86.156,,,,196 毫秒,11264 kB/s
198.41.207.133,,,,204 毫秒,11264 kB/s
172.67.6.249,,,,206 毫秒,11264 kB/s
104.27.36.59,,,,234 毫秒,11264 kB/s
104.19.224.200,,,,165 毫秒,11264 kB/s
104.16.180.240,,,,186 毫秒,11264 kB/s
104.20.211.135,,,,196 毫秒,11264 kB/s
104.24.233.217,,,,199 毫秒,11264 kB/s
104.24.207.8,,,,202 毫秒,11264 kB/s
104.25.10.105,,,,207 毫秒,11264 kB/s
172.67.205.163,,,,218 毫秒,11264 kB/s
172.67.86.93,,,,209 毫秒,11264 kB/s
104.17.132.139,,,,179 毫秒,11264 kB/s
104.25.32.16,,,,236 毫秒,11264 kB/s
104.18.220.38,,,,172 毫秒,11264 kB/s
104.17.82.117,,,,189 毫秒,11264 kB/s
104.19.243.66,,,,164 毫秒,11264 kB/s
104.18.253.124,,,,175 毫秒,11264 kB/s
172.67.48.147,,,,195 毫秒,11264 kB/s
173.245.59.195,,,,196 毫秒,11264 kB/s
172.67.111.2,,,,202 毫秒,11264 kB/s
162.159.4.252,,,,206 毫秒,11264 kB/s
104.25.102.208,,,,211 毫秒,11264 kB/s
172.67.197.15,,,,227 毫秒,11264 kB/s
172.67.140.142,,,,194 毫秒,11264 kB/s
104.24.12.134,,,,198 毫秒,11264 kB/s
104.24.165.14,,,,198 毫秒,11264 kB/s
104.24.249.234,,,,202 毫秒,11264 kB/s
172.67.41.94,,,,189 毫秒,11264 kB/s
104.19.142.155,,,,198 毫秒,11264 kB/s
104.25.97.57,,,,208 毫秒,11264 kB/s
104.18.160.46,,,,168 毫秒,11264 kB/s
104.19.237.1,,,,198 毫秒,11264 kB/s
104.27.107.117,,,,200 毫秒,11264 kB/s
104.25.8.61,,,,202 毫秒,11264 kB/s
172.67.52.104,,,,204 毫秒,11264 kB/s
104.25.50.15,,,,205 毫秒,11264 kB/s
104.18.226.155,,,,173 毫秒,11264 kB/s
172.64.229.196,,,,198 毫秒,11264 kB/s
104.25.121.63,,,,200 毫秒,11264 kB/s
104.20.138.121,,,,204 毫秒,11264 kB/s
104.20.155.56,,,,204 毫秒,11264 kB/s
104.23.96.71,,,,205 毫秒,11264 kB/s
104.27.62.100,,,,209 毫秒,11264 kB/s
104.20.69.177,,,,196 毫秒,11264 kB/s
104.21.45.247,,,,196 毫秒,11264 kB/s
104.19.141.210,,,,203 毫秒,11264 kB/s
104.25.235.10,,,,204 毫秒,11264 kB/s
104.16.166.133,,,,169 毫秒,11264 kB/s
104.17.93.28,,,,184 毫秒,11264 kB/s
104.18.159.63,,,,157 毫秒,11264 kB/s
104.21.13.187,,,,185 毫秒,11264 kB/s
104.19.255.243,,,,190 毫秒,11264 kB/s
104.19.131.176,,,,200 毫秒,11264 kB/s
104.25.54.1,,,,202 毫秒,11264 kB/s
104.27.94.198,,,,207 毫秒,11264 kB/s
104.17.255.95,,,,168 毫秒,11264 kB/s
104.17.159.41,,,,178 毫秒,11264 kB/s
104.19.143.205,,,,194 毫秒,11264 kB/s
162.159.20.42,,,,196 毫秒,11264 kB/s
104.16.38.13,,,,159 毫秒,11264 kB/s
104.21.228.100,,,,168 毫秒,11264 kB/s
104.18.185.206,,,,169 毫秒,11264 kB/s
198.41.204.208,,,,206 毫秒,11264 kB/s
104.19.168.45,,,,189 毫秒,11264 kB/s
104.20.154.42,,,,199 毫秒,11264 kB/s
104.23.101.189,,,,208 毫秒,11264 kB/s
104.18.32.192,,,,209 毫秒,11264 kB/s
104.25.201.45,,,,200 毫秒,11264 kB/s
104.20.138.225,,,,202 毫秒,11264 kB/s
104.27.120.155,,,,204 毫秒,11264 kB/s
104.24.163.95,,,,207 毫秒,11264 kB/s
172.67.178.53,,,,217 毫秒,11264 kB/s
104.16.28.230,,,,159 毫秒,11264 kB/s
104.18.224.23,,,,168 毫秒,11264 kB/s
104.21.68.60,,,,198 毫秒,11264 kB/s
172.67.204.173,,,,205 毫秒,11264 kB/s
104.17.227.87,,,,159 毫秒,11264 kB/s
104.18.212.157,,,,163 毫秒,11264 kB/s
104.27.195.221,,,,198 毫秒,11264 kB/s
104.27.69.9,,,,206 毫秒,11264 kB/s
104.19.65.251,,,,189 毫秒,11264 kB/s
172.67.95.186,,,,196 毫秒,11264 kB/s
104.20.168.246,,,,202 毫秒,11264 kB/s
104.16.168.101,,,,176 毫秒,11264 kB/s
104.17.170.144,,,,179 毫秒,11264 kB/s
104.21.76.241,,,,180 毫秒,11264 kB/s
104.25.101.8,,,,192 毫秒,11264 kB/s
104.20.238.55,,,,196 毫秒,11264 kB/s
104.25.78.12,,,,206 毫秒,11264 kB/s
104.20.101.220,,,,201 毫秒,11264 kB/s
108.162.192.245,,,,202 毫秒,11264 kB/s
104.24.244.120,,,,207 毫秒,11264 kB/s
104.17.227.7,,,,172 毫秒,11264 kB/s
104.16.12.63,,,,184 毫秒,11264 kB/s
104.20.85.106,,,,196 毫秒,11264 kB/s
104.19.64.1,,,,209 毫秒,11264 kB/s
104.16.46.184,,,,163 毫秒,11264 kB/s
104.24.92.64,,,,198 毫秒,11264 kB/s
104.24.227.203,,,,204 毫秒,11264 kB/s
172.67.188.84,,,,204 毫秒,11264 kB/s
198.41.216.141,,,,206 毫秒,11264 kB/s
198.41.195.236,,,,215 毫秒,11264 kB/s
104.16.68.8,,,,158 毫秒,11264 kB/s
104.17.109.113,,,,180 毫秒,11264 kB/s
104.21.206.198,,,,194 毫秒,11264 kB/s
104.24.10.133,,,,194 毫秒,11264 kB/s
104.20.142.49,,,,195 毫秒,11264 kB/s
104.20.69.17,,,,213 毫秒,11264 kB/s
104.20.187.211,,,,200 毫秒,11264 kB/s
104.24.16.245,,,,206 毫秒,11264 kB/s
104.17.54.204,,,,178 毫秒,11264 kB/s
104.19.211.49,,,,186 毫秒,11264 kB/s
104.20.9.21,,,,198 毫秒,11264 kB/s
172.64.81.139,,,,198 毫秒,11264 kB/s
104.22.45.18,,,,199 毫秒,11264 kB/s
172.67.171.129,,,,199 毫秒,11264 kB/s
104.16.20.117,,,,178 毫秒,11264 kB/s
172.67.162.118,,,,195 毫秒,11264 kB/s
104.17.225.211,,,,157 毫秒,11264 kB/s
104.17.190.255,,,,163 毫秒,11264 kB/s
104.16.176.169,,,,180 毫秒,11264 kB/s
104.25.240.123,,,,200 毫秒,11264 kB/s
104.24.220.24,,,,201 毫秒,11264 kB/s
104.18.31.29,,,,202 毫秒,11264 kB/s
104.19.43.188,,,,206 毫秒,11264 kB/s
104.18.127.58,,,,174 毫秒,11264 kB/s
162.159.27.24,,,,190 毫秒,11264 kB/s
104.21.199.10,,,,202 毫秒,11264 kB/s
104.18.6.49,,,,203 毫秒,11264 kB/s
104.16.222.225,,,,174 毫秒,11264 kB/s
104.16.64.62,,,,167 毫秒,11264 kB/s
162.159.23.217,,,,189 毫秒,11264 kB/s
104.17.44.43,,,,167 毫秒,11264 kB/s
104.18.168.103,,,,184 毫秒,11264 kB/s
104.17.209.183,,,,190 毫秒,11264 kB/s
172.67.80.229,,,,207 毫秒,11264 kB/s
104.16.38.17,,,,167 毫秒,11264 kB/s
104.19.74.86,,,,201 毫秒,11264 kB/s
104.22.38.167,,,,201 毫秒,11264 kB/s
104.16.175.171,,,,165 毫秒,11264 kB/s
104.17.56.100,,,,171 毫秒,11264 kB/s
104.23.116.14,,,,197 毫秒,11264 kB/s
104.24.209.30,,,,209 毫秒,11264 kB/s
104.16.158.43,,,,175 毫秒,11264 kB/s
104.21.50.68,,,,194 毫秒,11264 kB/s
104.21.202.5,,,,203 毫秒,11264 kB/s
172.67.5.136,,,,207 毫秒,11264 kB/s
104.17.64.35,,,,177 毫秒,11264 kB/s
104.25.43.138,,,,194 毫秒,11264 kB/s
104.18.83.144,,,,166 毫秒,11264 kB/s
104.18.166.53,,,,172 毫秒,11264 kB/s
104.18.217.198,,,,181 毫秒,11264 kB/s
104.25.3.112,,,,194 毫秒,11264 kB/s
162.159.248.91,,,,204 毫秒,11264 kB/s
104.19.249.4,,,,163 毫秒,11264 kB/s
104.21.112.217,,,,193 毫秒,11264 kB/s
104.24.52.76,,,,204 毫秒,11264 kB/s
104.18.151.22,,,,160 毫秒,11264 kB/s
104.20.110.32,,,,200 毫秒,11264 kB/s
104.22.43.197,,,,200 毫秒,11264 kB/s
104.22.14.128,,,,204 毫秒,11264 kB/s
104.25.159.47,,,,205 毫秒,11264 kB/s
104.25.201.255,,,,212 毫秒,11264 kB/s
104.20.151.170,,,,192 毫秒,11264 kB/s
104.21.6.29,,,,201 毫秒,11264 kB/s
104.20.195.122,,,,203 毫秒,11264 kB/s
104.21.126.139,,,,193 毫秒,11264 kB/s
104.24.10.107,,,,194 毫秒,11264 kB/s
104.24.191.31,,,,203 毫秒,11264 kB/s
104.21.20.216,,,,200 毫秒,11264 kB/s
104.20.234.0,,,,201 毫秒,11264 kB/s
104.24.186.76,,,,201 毫秒,11264 kB/s
104.27.127.120,,,,205 毫秒,11264 kB/s
104.17.10.219,,,,169 毫秒,11264 kB/s
104.24.65.86,,,,202 毫秒,11264 kB/s
104.20.204.127,,,,189 毫秒,11264 kB/s
104.25.190.20,,,,201 毫秒,11264 kB/s
172.67.114.43,,,,204 毫秒,11264 kB/s
104.18.122.6,,,,166 毫秒,11264 kB/s
104.18.195.82,,,,169 毫秒,11264 kB/s
172.67.149.103,,,,187 毫秒,11264 kB/s
104.27.74.162,,,,200 毫秒,11264 kB/s
104.20.225.29,,,,202 毫秒,11264 kB/s
104.24.177.69,,,,206 毫秒,11264 kB/s
104.16.251.187,,,,168 毫秒,11264 kB/s
104.19.9.172,,,,205 毫秒,11264 kB/s
104.17.118.97,,,,176 毫秒,11264 kB/s
104.19.56.27,,,,188 毫秒,11264 kB/s
104.16.71.121,,,,165 毫秒,11264 kB/s
104.24.203.151,,,,200 毫秒,11264 kB/s
104.19.146.111,,,,162 毫秒,11264 kB/s
104.17.51.198,,,,167 毫秒,11264 kB/s
104.16.247.160,,,,171 毫秒,11264 kB/s
104.27.13.153,,,,205 毫秒,11264 kB/s
104.16.113.161,,,,164 毫秒,11264 kB/s
104.25.63.204,,,,194 毫秒,11264 kB/s
104.25.126.251,,,,206 毫秒,11264 kB/s
104.17.53.27,,,,177 毫秒,11264 kB/s
172.67.91.180,,,,200 毫秒,11264 kB/s
104.20.209.195,,,,202 毫秒,11264 kB/s
104.17.84.16,,,,173 毫秒,11264 kB/s
104.20.206.175,,,,194 毫秒,11264 kB/s
104.21.106.80,,,,212 毫秒,11264 kB/s
104.18.163.96,,,,159 毫秒,11264 kB/s
104.16.206.219,,,,161 毫秒,11264 kB/s
104.16.60.199,,,,172 毫秒,11264 kB/s
104.27.194.254,,,,186 毫秒,11264 kB/s
104.24.79.92,,,,196 毫秒,11264 kB/s
172.64.155.189,,,,197 毫秒,11264 kB/s
104.22.50.48,,,,199 毫秒,11264 kB/s
198.41.208.209,,,,160 毫秒,11264 kB/s
162.159.243.221,,,,195 毫秒,11264 kB/s
104.24.147.141,,,,203 毫秒,11264 kB/s
104.19.126.66,,,,209 毫秒,11264 kB/s
104.25.79.182,,,,210 毫秒,11264 kB/s
172.67.163.76,,,,211 毫秒,11264 kB/s
104.21.68.65,,,,241 毫秒,11264 kB/s
104.25.58.150,,,,244 毫秒,11366 kB/s
104.17.118.166,,,,257 毫秒,11366 kB/s
162.159.194.190,,,,202 毫秒,11366 kB/s
104.19.217.173,,,,212 毫秒,11366 kB/s
172.67.64.7,,,,132 毫秒,11366 kB/s
104.24.234.227,,,,198 毫秒,11366 kB/s
198.41.205.240,,,,206 毫秒,11366 kB/s
104.27.95.140,,,,207 毫秒,11366 kB/s
104.19.243.41,,,,215 毫秒,11366 kB/s
104.19.145.58,,,,193 毫秒,11366 kB/s
104.19.41.22,,,,203 毫秒,11366 kB/s
104.24.4.82,,,,203 毫秒,11366 kB/s
104.22.75.148,,,,206 毫秒,11366 kB/s
104.19.180.63,,,,211 毫秒,11366 kB/s
104.17.41.196,,,,212 毫秒,11366 kB/s
104.19.188.68,,,,216 毫秒,11366 kB/s
104.16.168.153,,,,185 毫秒,11366 kB/s
104.17.148.207,,,,188 毫秒,11366 kB/s
104.18.173.135,,,,199 毫秒,11366 kB/s
104.25.221.77,,,,207 毫秒,11366 kB/s
104.24.136.95,,,,208 毫秒,11366 kB/s
104.18.138.118,,,,183 毫秒,11366 kB/s
198.41.222.160,,,,190 毫秒,11366 kB/s
104.22.1.185,,,,199 毫秒,11366 kB/s
104.24.6.90,,,,200 毫秒,11366 kB/s
172.67.104.210,,,,204 毫秒,11366 kB/s
104.18.105.127,,,,172 毫秒,11366 kB/s
104.18.88.161,,,,173 毫秒,11366 kB/s
104.18.130.107,,,,177 毫秒,11366 kB/s
104.16.245.79,,,,183 毫秒,11366 kB/s
104.16.196.225,,,,184 毫秒,11366 kB/s
104.25.216.4,,,,198 毫秒,11366 kB/s
104.18.41.220,,,,203 毫秒,11366 kB/s
104.19.37.211,,,,205 毫秒,11366 kB/s
104.20.52.206,,,,206 毫秒,11366 kB/s
172.67.10.198,,,,206 毫秒,11366 kB/s
104.18.97.246,,,,179 毫秒,11366 kB/s
104.17.21.20,,,,185 毫秒,11366 kB/s
104.20.241.13,,,,201 毫秒,11366 kB/s
104.27.110.127,,,,202 毫秒,11366 kB/s
104.27.6.159,,,,202 毫秒,11366 kB/s
162.159.16.112,,,,199 毫秒,11366 kB/s
104.25.37.232,,,,200 毫秒,11366 kB/s
104.27.56.154,,,,203 毫秒,11366 kB/s
104.19.48.97,,,,205 毫秒,11366 kB/s
104.20.146.64,,,,208 毫秒,11366 kB/s
104.20.96.55,,,,221 毫秒,11366 kB/s
104.24.27.178,,,,232 毫秒,11366 kB/s
104.17.36.215,,,,162 毫秒,11366 kB/s
104.17.54.127,,,,167 毫秒,11366 kB/s
104.17.47.80,,,,169 毫秒,11366 kB/s
104.25.232.49,,,,203 毫秒,11366 kB/s
104.27.193.8,,,,225 毫秒,11366 kB/s
104.25.15.99,,,,228 毫秒,11366 kB/s
104.19.144.222,,,,166 毫秒,11366 kB/s
104.19.172.56,,,,178 毫秒,11366 kB/s
104.18.219.177,,,,191 毫秒,11366 kB/s
104.19.101.162,,,,199 毫秒,11366 kB/s
162.159.49.86,,,,202 毫秒,11366 kB/s
172.67.122.206,,,,202 毫秒,11366 kB/s
172.67.35.77,,,,203 毫秒,11366 kB/s
104.27.37.87,,,,233 毫秒,11366 kB/s
104.19.210.63,,,,168 毫秒,11366 kB/s
104.17.41.93,,,,170 毫秒,11366 kB/s
104.17.127.32,,,,179 毫秒,11366 kB/s
104.21.104.83,,,,210 毫秒,11366 kB/s
104.20.125.36,,,,211 毫秒,11366 kB/s
104.18.166.122,,,,161 毫秒,11366 kB/s
104.24.221.134,,,,192 毫秒,11366 kB/s
104.24.134.95,,,,194 毫秒,11366 kB/s
104.20.199.124,,,,195 毫秒,11366 kB/s
104.21.25.225,,,,232 毫秒,11366 kB/s
104.18.226.71,,,,175 毫秒,11366 kB/s
172.67.41.190,,,,195 毫秒,11366 kB/s
104.19.0.255,,,,202 毫秒,11366 kB/s
104.25.106.178,,,,202 毫秒,11366 kB/s
104.19.22.63,,,,204 毫秒,11366 kB/s
104.20.69.90,,,,206 毫秒,11366 kB/s
104.22.31.210,,,,206 毫秒,11366 kB/s
198.41.218.17,,,,206 毫秒,11366 kB/s
104.21.0.104,,,,264 毫秒,11366 kB/s
104.16.126.186,,,,162 毫秒,11366 kB/s
104.17.239.192,,,,167 毫秒,11366 kB/s
190.93.245.76,,,,169 毫秒,11366 kB/s
104.27.63.210,,,,190 毫秒,11366 kB/s
162.159.246.214,,,,195 毫秒,11366 kB/s
172.67.118.31,,,,198 毫秒,11366 kB/s
104.21.2.61,,,,201 毫秒,11366 kB/s
162.159.46.50,,,,214 毫秒,11366 kB/s
104.21.117.81,,,,249 毫秒,11366 kB/s
104.24.10.203,,,,191 毫秒,11366 kB/s
104.19.110.107,,,,197 毫秒,11366 kB/s
104.24.88.64,,,,201 毫秒,11366 kB/s
104.22.6.25,,,,206 毫秒,11366 kB/s
104.16.48.99,,,,159 毫秒,11366 kB/s
104.16.138.101,,,,168 毫秒,11366 kB/s
104.17.66.223,,,,175 毫秒,11366 kB/s
172.64.90.81,,,,199 毫秒,11366 kB/s
104.24.87.110,,,,200 毫秒,11366 kB/s
104.25.145.54,,,,202 毫秒,11366 kB/s
104.22.42.199,,,,206 毫秒,11366 kB/s
104.17.240.102,,,,175 毫秒,11366 kB/s
104.17.177.101,,,,184 毫秒,11366 kB/s
172.67.87.156,,,,196 毫秒,11366 kB/s
104.20.80.218,,,,204 毫秒,11366 kB/s
104.24.221.221,,,,204 毫秒,11366 kB/s
172.67.237.169,,,,242 毫秒,11366 kB/s
104.16.209.243,,,,179 毫秒,11366 kB/s
104.17.88.185,,,,181 毫秒,11366 kB/s
104.20.205.167,,,,188 毫秒,11366 kB/s
104.23.109.147,,,,200 毫秒,11366 kB/s
104.25.15.205,,,,204 毫秒,11366 kB/s
104.18.157.57,,,,172 毫秒,11366 kB/s
104.25.183.8,,,,202 毫秒,11366 kB/s
104.25.197.80,,,,206 毫秒,11366 kB/s
104.25.144.113,,,,212 毫秒,11366 kB/s
104.19.181.31,,,,162 毫秒,11366 kB/s
104.16.248.133,,,,167 毫秒,11366 kB/s
104.19.242.224,,,,173 毫秒,11366 kB/s
104.16.185.202,,,,179 毫秒,11366 kB/s
104.21.237.30,,,,189 毫秒,11366 kB/s
104.27.11.26,,,,190 毫秒,11366 kB/s
104.27.51.78,,,,193 毫秒,11366 kB/s
104.24.228.86,,,,200 毫秒,11366 kB/s
104.22.51.111,,,,204 毫秒,11366 kB/s
104.17.116.98,,,,159 毫秒,11366 kB/s
104.20.157.254,,,,200 毫秒,11366 kB/s
172.67.191.39,,,,209 毫秒,11366 kB/s
104.16.40.213,,,,158 毫秒,11366 kB/s
104.17.103.126,,,,159 毫秒,11366 kB/s
104.16.2.68,,,,168 毫秒,11366 kB/s
104.16.129.42,,,,177 毫秒,11366 kB/s
104.17.96.181,,,,187 毫秒,11366 kB/s
104.20.114.33,,,,188 毫秒,11366 kB/s
104.24.185.71,,,,196 毫秒,11366 kB/s
104.18.3.233,,,,198 毫秒,11366 kB/s
104.24.143.156,,,,199 毫秒,11366 kB/s
172.67.27.132,,,,210 毫秒,11366 kB/s
172.67.74.93,,,,094 毫秒,11366 kB/s
104.19.144.44,,,,172 毫秒,11366 kB/s
104.18.204.177,,,,182 毫秒,11366 kB/s
104.19.234.232,,,,183 毫秒,11366 kB/s
104.17.98.247,,,,188 毫秒,11366 kB/s
198.41.206.174,,,,196 毫秒,11366 kB/s
104.25.163.95,,,,200 毫秒,11366 kB/s
104.22.15.185,,,,201 毫秒,11366 kB/s
104.25.89.148,,,,206 毫秒,11366 kB/s
172.67.67.255,,,,088 毫秒,11366 kB/s
104.17.86.63,,,,158 毫秒,11366 kB/s
172.67.180.5,,,,183 毫秒,11366 kB/s
104.20.57.20,,,,198 毫秒,11366 kB/s
172.64.146.173,,,,200 毫秒,11366 kB/s
104.16.165.170,,,,166 毫秒,11366 kB/s
104.18.250.224,,,,169 毫秒,11366 kB/s
104.19.207.36,,,,200 毫秒,11366 kB/s
104.21.200.109,,,,249 毫秒,11366 kB/s
104.18.214.73,,,,161 毫秒,11366 kB/s
104.16.13.92,,,,164 毫秒,11366 kB/s
104.18.118.81,,,,169 毫秒,11366 kB/s
104.25.149.47,,,,199 毫秒,11366 kB/s
104.19.47.27,,,,203 毫秒,11366 kB/s
104.20.83.178,,,,203 毫秒,11366 kB/s
104.22.15.218,,,,206 毫秒,11366 kB/s
104.19.8.46,,,,215 毫秒,11366 kB/s
172.67.234.175,,,,226 毫秒,11366 kB/s
104.16.211.30,,,,169 毫秒,11366 kB/s
104.23.101.185,,,,189 毫秒,11366 kB/s
104.18.252.64,,,,192 毫秒,11366 kB/s
172.67.81.206,,,,195 毫秒,11366 kB/s
104.23.138.244,,,,197 毫秒,11366 kB/s
104.22.30.116,,,,201 毫秒,11366 kB/s
104.21.124.124,,,,204 毫秒,11366 kB/s
104.21.47.143,,,,204 毫秒,11366 kB/s
104.20.155.128,,,,193 毫秒,11366 kB/s
104.21.34.20,,,,193 毫秒,11366 kB/s
141.101.113.32,,,,194 毫秒,11366 kB/s
172.67.173.11,,,,198 毫秒,11366 kB/s
198.41.212.151,,,,201 毫秒,11366 kB/s
162.159.14.239,,,,202 毫秒,11366 kB/s
172.67.243.139,,,,203 毫秒,11366 kB/s
104.23.99.173,,,,204 毫秒,11366 kB/s
104.27.74.48,,,,207 毫秒,11366 kB/s
104.26.0.138,,,,090 毫秒,11366 kB/s
104.17.220.138,,,,159 毫秒,11366 kB/s
104.20.51.152,,,,183 毫秒,11366 kB/s
23.227.38.188,,,,196 毫秒,11366 kB/s
104.20.242.204,,,,197 毫秒,11366 kB/s
104.25.20.205,,,,200 毫秒,11366 kB/s
104.25.22.144,,,,200 毫秒,11366 kB/s
104.25.196.134,,,,201 毫秒,11366 kB/s
104.17.5.46,,,,164 毫秒,11366 kB/s
104.16.254.171,,,,170 毫秒,11366 kB/s
104.17.52.15,,,,182 毫秒,11366 kB/s
104.17.81.228,,,,184 毫秒,11366 kB/s
104.27.85.50,,,,194 毫秒,11366 kB/s
104.27.101.165,,,,200 毫秒,11366 kB/s
104.27.89.17,,,,200 毫秒,11366 kB/s
104.21.80.10,,,,191 毫秒,11366 kB/s
104.19.78.156,,,,202 毫秒,11366 kB/s
104.19.100.228,,,,204 毫秒,11366 kB/s
172.64.93.161,,,,204 毫秒,11366 kB/s
104.17.69.236,,,,161 毫秒,11366 kB/s
104.21.232.137,,,,163 毫秒,11366 kB/s
104.19.207.211,,,,198 毫秒,11366 kB/s
172.64.34.183,,,,211 毫秒,11366 kB/s
104.22.71.150,,,,196 毫秒,11366 kB/s
104.25.175.114,,,,204 毫秒,11366 kB/s
104.27.103.44,,,,204 毫秒,11366 kB/s
104.24.134.184,,,,206 毫秒,11366 kB/s
104.18.163.226,,,,158 毫秒,11366 kB/s
104.16.92.114,,,,169 毫秒,11366 kB/s
104.18.39.183,,,,193 毫秒,11366 kB/s
104.18.20.162,,,,200 毫秒,11366 kB/s
172.67.179.172,,,,200 毫秒,11366 kB/s
104.22.35.181,,,,201 毫秒,11366 kB/s
104.25.185.185,,,,205 毫秒,11366 kB/s
104.19.220.219,,,,161 毫秒,11366 kB/s
104.21.20.68,,,,197 毫秒,11366 kB/s
172.64.42.215,,,,200 毫秒,11366 kB/s
104.20.154.227,,,,202 毫秒,11366 kB/s
172.67.24.234,,,,203 毫秒,11366 kB/s
104.26.12.252,,,,089 毫秒,11366 kB/s
104.17.212.213,,,,174 毫秒,11366 kB/s
104.21.81.207,,,,194 毫秒,11366 kB/s
104.18.39.211,,,,199 毫秒,11366 kB/s
104.25.60.28,,,,206 毫秒,11366 kB/s
104.25.251.102,,,,194 毫秒,11366 kB/s
172.67.243.63,,,,196 毫秒,11366 kB/s
104.20.113.158,,,,199 毫秒,11366 kB/s
104.20.71.193,,,,199 毫秒,11366 kB/s
104.20.124.68,,,,209 毫秒,11366 kB/s
104.19.236.185,,,,176 毫秒,11366 kB/s
104.20.150.228,,,,197 毫秒,11366 kB/s
104.25.98.8,,,,200 毫秒,11366 kB/s
104.27.12.11,,,,200 毫秒,11366 kB/s
104.27.105.17,,,,205 毫秒,11366 kB/s
104.24.228.111,,,,206 毫秒,11366 kB/s
104.17.10.246,,,,164 毫秒,11366 kB/s
104.17.47.95,,,,166 毫秒,11366 kB/s
104.17.244.77,,,,168 毫秒,11366 kB/s
104.16.224.115,,,,171 毫秒,11366 kB/s
172.67.157.156,,,,193 毫秒,11366 kB/s
104.23.97.36,,,,195 毫秒,11366 kB/s
172.67.251.68,,,,197 毫秒,11366 kB/s
104.24.193.182,,,,198 毫秒,11366 kB/s
104.19.97.84,,,,202 毫秒,11366 kB/s
104.20.214.113,,,,209 毫秒,11366 kB/s
104.16.97.96,,,,183 毫秒,11366 kB/s
104.25.189.180,,,,192 毫秒,11366 kB/s
172.67.17.181,,,,202 毫秒,11366 kB/s
104.25.144.113,,,,209 毫秒,11366 kB/s
104.18.19.14,,,,211 毫秒,11366 kB/s
104.16.105.92,,,,193 毫秒,11366 kB/s
104.25.204.200,,,,194 毫秒,11366 kB/s
104.24.33.192,,,,203 毫秒,11366 kB/s
104.26.4.209,,,,092 毫秒,11366 kB/s
104.21.38.166,,,,196 毫秒,11366 kB/s
162.159.133.122,,,,205 毫秒,11366 kB/s
104.16.68.125,,,,162 毫秒,11366 kB/s
104.25.178.36,,,,196 毫秒,11366 kB/s
172.67.207.82,,,,198 毫秒,11366 kB/s
104.27.81.174,,,,204 毫秒,11366 kB/s
104.17.101.250,,,,175 毫秒,11366 kB/s
104.21.55.211,,,,196 毫秒,11366 kB/s
104.25.147.141,,,,198 毫秒,11366 kB/s
104.22.13.208,,,,200 毫秒,11366 kB/s
104.24.8.88,,,,200 毫秒,11366 kB/s
141.101.123.40,,,,204 毫秒,11366 kB/s
104.22.19.12,,,,208 毫秒,11366 kB/s
104.17.91.168,,,,159 毫秒,11366 kB/s
104.17.68.157,,,,164 毫秒,11366 kB/s
104.19.253.239,,,,177 毫秒,11366 kB/s
104.21.215.0,,,,191 毫秒,11366 kB/s
104.25.45.237,,,,202 毫秒,11366 kB/s
172.67.199.31,,,,203 毫秒,11366 kB/s
104.16.60.182,,,,167 毫秒,11366 kB/s
104.23.122.119,,,,184 毫秒,11366 kB/s
172.67.168.44,,,,193 毫秒,11366 kB/s
104.27.19.100,,,,197 毫秒,11366 kB/s
172.67.190.159,,,,197 毫秒,11366 kB/s
104.17.34.194,,,,172 毫秒,11366 kB/s
104.16.193.220,,,,175 毫秒,11366 kB/s
104.16.109.91,,,,180 毫秒,11366 kB/s
104.16.122.195,,,,182 毫秒,11366 kB/s
172.67.90.95,,,,192 毫秒,11366 kB/s
172.67.141.229,,,,204 毫秒,11366 kB/s
104.24.255.151,,,,205 毫秒,11366 kB/s
162.159.35.28,,,,205 毫秒,11366 kB/s
172.67.213.243,,,,209 毫秒,11366 kB/s
104.21.61.23,,,,194 毫秒,11366 kB/s
104.18.220.150,,,,160 毫秒,11366 kB/s
104.17.169.116,,,,164 毫秒,11366 kB/s
104.17.126.44,,,,178 毫秒,11366 kB/s
104.19.125.25,,,,191 毫秒,11366 kB/s
172.67.183.30,,,,195 毫秒,11366 kB/s
104.20.213.203,,,,196 毫秒,11366 kB/s
104.19.117.46,,,,205 毫秒,11366 kB/s
104.20.171.26,,,,205 毫秒,11366 kB/s
104.26.7.146,,,,089 毫秒,11366 kB/s
104.17.83.7,,,,167 毫秒,11366 kB/s
104.20.13.207,,,,192 毫秒,11366 kB/s
172.67.34.249,,,,192 毫秒,11366 kB/s
172.67.162.221,,,,198 毫秒,11366 kB/s
172.64.35.37,,,,201 毫秒,11366 kB/s
104.21.107.169,,,,205 毫秒,11366 kB/s
104.25.126.112,,,,205 毫秒,11366 kB/s
172.64.157.227,,,,209 毫秒,11366 kB/s
104.16.123.205,,,,160 毫秒,11366 kB/s
104.16.41.38,,,,161 毫秒,11366 kB/s
104.17.148.96,,,,162 毫秒,11366 kB/s
104.16.14.24,,,,165 毫秒,11366 kB/s
104.18.224.221,,,,172 毫秒,11366 kB/s
104.16.116.162,,,,179 毫秒,11366 kB/s
104.16.24.23,,,,183 毫秒,11366 kB/s
104.16.147.47,,,,184 毫秒,11366 kB/s
104.17.30.24,,,,186 毫秒,11366 kB/s
104.24.157.20,,,,205 毫秒,11366 kB/s
104.20.56.21,,,,209 毫秒,11366 kB/s
