IP 地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）
104.19.95.85,,,,198 毫秒,10649 kB/s
104.16.40.246,,,,179 毫秒,10649 kB/s
162.159.24.130,,,,205 毫秒,10649 kB/s
172.67.127.156,,,,201 毫秒,10649 kB/s
172.67.18.229,,,,193 毫秒,10649 kB/s
172.67.228.137,,,,226 毫秒,10649 kB/s
104.18.160.237,,,,165 毫秒,10649 kB/s
162.159.137.72,,,,198 毫秒,10649 kB/s
104.25.163.212,,,,199 毫秒,10649 kB/s
104.21.239.98,,,,160 毫秒,10649 kB/s
104.17.240.254,,,,168 毫秒,10649 kB/s
104.16.30.208,,,,178 毫秒,10649 kB/s
172.67.15.207,,,,196 毫秒,10649 kB/s
104.25.70.162,,,,191 毫秒,10649 kB/s
104.25.174.114,,,,194 毫秒,10649 kB/s
104.19.156.206,,,,170 毫秒,10649 kB/s
104.16.253.110,,,,178 毫秒,10649 kB/s
104.18.138.54,,,,161 毫秒,10649 kB/s
104.18.31.87,,,,193 毫秒,10649 kB/s
104.25.167.230,,,,201 毫秒,10649 kB/s
104.16.114.175,,,,189 毫秒,10649 kB/s
104.17.16.67,,,,169 毫秒,10649 kB/s
104.25.174.54,,,,198 毫秒,10649 kB/s
104.24.220.185,,,,193 毫秒,10649 kB/s
104.25.236.153,,,,205 毫秒,10649 kB/s
104.24.140.69,,,,209 毫秒,10649 kB/s
104.27.68.168,,,,203 毫秒,10649 kB/s
104.19.152.211,,,,168 毫秒,10649 kB/s
104.17.126.214,,,,161 毫秒,10649 kB/s
104.17.79.126,,,,179 毫秒,10649 kB/s
104.25.201.92,,,,202 毫秒,10649 kB/s
104.17.223.144,,,,164 毫秒,10649 kB/s
104.24.29.249,,,,199 毫秒,10649 kB/s
104.16.198.52,,,,170 毫秒,10649 kB/s
104.18.203.172,,,,177 毫秒,10649 kB/s
104.19.55.49,,,,198 毫秒,10649 kB/s
172.67.144.95,,,,197 毫秒,10649 kB/s
104.17.2.36,,,,170 毫秒,10649 kB/s
104.19.183.212,,,,174 毫秒,10649 kB/s
104.18.239.124,,,,168 毫秒,10649 kB/s
104.18.65.46,,,,161 毫秒,10649 kB/s
104.16.213.246,,,,165 毫秒,10649 kB/s
198.41.197.207,,,,199 毫秒,10649 kB/s
104.17.58.207,,,,175 毫秒,10649 kB/s
104.21.24.95,,,,203 毫秒,10649 kB/s
172.67.62.13,,,,206 毫秒,10649 kB/s
104.18.137.194,,,,163 毫秒,10649 kB/s
104.18.255.221,,,,181 毫秒,10649 kB/s
104.21.113.36,,,,204 毫秒,10649 kB/s
104.27.4.196,,,,210 毫秒,10649 kB/s
104.17.227.138,,,,157 毫秒,10649 kB/s
104.18.12.231,,,,203 毫秒,10649 kB/s
104.20.82.75,,,,196 毫秒,10649 kB/s
104.24.2.101,,,,201 毫秒,10649 kB/s
104.20.196.52,,,,208 毫秒,10649 kB/s
104.18.136.221,,,,170 毫秒,10649 kB/s
104.17.126.178,,,,173 毫秒,10649 kB/s
104.21.107.250,,,,206 毫秒,10649 kB/s
104.18.152.111,,,,157 毫秒,10649 kB/s
104.24.35.168,,,,199 毫秒,10649 kB/s
104.18.28.106,,,,201 毫秒,10649 kB/s
104.22.70.12,,,,205 毫秒,10649 kB/s
104.16.117.19,,,,210 毫秒,10752 kB/s
104.19.182.189,,,,221 毫秒,10752 kB/s
104.17.135.233,,,,165 毫秒,10752 kB/s
104.25.245.52,,,,217 毫秒,10752 kB/s
104.27.99.56,,,,225 毫秒,10752 kB/s
104.20.34.6,,,,191 毫秒,10752 kB/s
104.17.138.65,,,,162 毫秒,10752 kB/s
104.18.147.160,,,,166 毫秒,10752 kB/s
104.22.55.83,,,,204 毫秒,10752 kB/s
104.19.165.3,,,,163 毫秒,10752 kB/s
162.159.36.158,,,,204 毫秒,10752 kB/s
104.16.69.134,,,,166 毫秒,10752 kB/s
104.16.15.142,,,,167 毫秒,10752 kB/s
104.18.189.83,,,,163 毫秒,10752 kB/s
104.19.247.202,,,,174 毫秒,10752 kB/s
104.17.132.56,,,,185 毫秒,10752 kB/s
104.17.81.168,,,,162 毫秒,10752 kB/s
